gene1,gene2,p_value,statistic,depletion_p_value,q_value,SR_DD_p_value,SR_DD_q_value,depletion_q_value,SR_DD_depletion_p_value,SR_DD_depletion_q_value,survival_coef,survival_p_value,phylo_coefficient
AKT1,MAN2A1,4.959533794278945e-7,66820,0.9988536070920475,0.25735665597906704,0.9999995040466205,0.9999995040466205,1,0.001146392907952487,0.45735535420228063,-0.02820748373300427,0.6358519714619678,24.495860093405586
KRAS,CCDC183,1.87126714707177e-6,67119,0.6220567355181845,0.4855124245442267,0.9999981287328529,0.9999995040466205,1,0.3779432644818155,0.9104241473632569,0,1,9999999
HRAS,C11orf80,7.69644858918353e-6,65417,0.7395478160736602,0.5901256664155443,0.9999923035514108,0.9999961577472306,1,0.26045218392633984,0.8823092958949602,-0.040484475013803436,0.5125329691124652,18.363935622197285
XPO1,KDM6A,9.117368149123606e-6,65704,0.6216940893753735,0.5901256664155443,0.9999908826318509,0.9999961577472306,1,0.3783059106246265,0.9104241473632569,-0.01941527051696286,0.7560742113563088,15.885845196117174
ERBB2,CBSL,1.1900171468051195e-5,66315,0.43534713693397853,0.5901256664155443,0.999988099828532,0.9999958082174775,1,0.5646528630660215,0.9386623118950987,0,1,9999999
RAF1,VEZT,1.2930476513279196e-5,65132,0.7835428721802179,0.5901256664155443,0.9999870695234867,0.9999958082174775,1,0.2164571278197821,0.8708973625487143,-0.07031216860899812,0.2587186635375971,19.919967769102175
RAF1,GTPBP8,1.3597236435716624e-5,65104,0.47173767400297834,0.5901256664155443,0.9999864027635643,0.9999958082174775,1,0.5282623259970216,0.9313639853227621,-0.04856476524500811,0.4348769264601551,14.471995753608129
CDK4,CYP2U1,1.3760538624927685e-5,65665,0.7547300183352883,0.5901256664155443,0.9999862394613751,0.9999958082174775,1,0.2452699816647117,0.8823092958949602,-0.035513641687261836,0.558297215890527,20.50508811505801
NRAS,ARMCX3,1.4220069317057685e-5,65079,0.41534983079987053,0.5901256664155443,0.9999857799306829,0.9999958082174775,1,0.5846501692001295,0.9386623118950987,-0.06359795684212823,0.3063202262115813,19.797393738461047
AKT3,ZNF264,1.4502624207870957e-5,65068,0.8228761396380059,0.5901256664155443,0.9999854973757921,0.9999958082174775,1,0.17712386036199412,0.8609464973397819,0.01957846410220175,0.751570147665273,25.344898241762618
AKT2,ARL4A,1.5191847041096029e-5,65042,0.6913184070794791,0.5901256664155443,0.9999848081529589,0.9999958082174775,1,0.3086815929205209,0.8902374601031635,-0.12063912099368856,0.05593642586772945,13.700417225518251
XPO1,SLC7A8,1.54516693073896e-5,65976,0.7970949843457993,0.5901256664155443,0.9999845483306926,0.9999958082174775,1,0.20290501565420072,0.8708973625487143,-0.052395588397675906,0.39600246004133355,17.870846837332966
PDGFRB,NAA25,1.6429660814680256e-5,64998,0.218782899444206,0.5901256664155443,0.9999835703391853,0.9999958082174775,1,0.781217100555794,0.9668654395361577,-0.04081652299843571,0.5094313200814219,17.067562265704712
KIT,REEP1,1.7371025727242992e-5,67229,0.0570755606967229,0.5901256664155443,0.9999826289742727,0.9999958082174775,1,0.9429244393032771,0.9910084891827841,0.00948462111439541,0.8760166774363602,20.852557858180663
HRAS,WNT9A,1.904494443648995e-5,65103,0.8775461785910829,0.5901256664155443,0.9999809550555635,0.9999958082174775,1,0.12245382140891714,0.8533599129819417,0.03378360447882041,0.5758513672002434,15.762044227659246
AKT3,ANKRD34B,1.962955009782667e-5,79700,0.41317500224492926,0.5901256664155443,0.9999803704499022,0.9999958082174775,1,0.5868249977550708,0.9409372475659747,0.04163360560351327,0.4908292422177919,23.938971571197005
RET,TMEM44,2.041832679196079e-5,64875,0.783763851189851,0.5901256664155443,0.999979581673208,0.9999958082174775,1,0.21623614881014896,0.8708973625487143,-0.020148972483021367,0.7481167741230073,20.105220968816784
EGFR,FAM122B,2.1902473016434335e-5,64835,0.2157503531697164,0.5901256664155443,0.9999780975269835,0.9999958082174775,1,0.7842496468302835,0.9668654395361577,-0.06787009443334413,0.285534598025576,18.398664270428558
KIT,POLL,2.2770405744738542e-5,65001,0.4734432238215514,0.5901256664155443,0.9999772295942553,0.9999958082174775,1,0.5265567761784486,0.9313639853227621,-0.0016221136390941,0.9793555003509132,25.639449532702756
FLT4,RGS7,2.3881920465909372e-5,73999,0.8078762467850159,0.5901256664155443,0.9999761180795341,0.9999958082174775,1,0.1921237532149841,0.8708973625487143,0.015487820594504705,0.7979285420575563,14.762131848139418
RAF1,ACOX1,2.5937915250937053e-5,64738,0.17614598451551555,0.6117964280277045,0.999974062084749,0.9999958082174775,1,0.8238540154844844,0.9727042094281095,0.02244039249561677,0.7116528304690132,17.85615944008126
FNTB,CLIP2,3.582305133989343e-5,64738,0.5099065011427081,0.7626550857025302,0.9999641769486601,0.9999958082174775,1,0.4900934988572919,0.9293794796687685,0.1336198585775071,0.02648784375013587,15.61280476231805
AKT3,NRXN1,3.765231538984482e-5,85464,0.077137128822384,0.7626550857025302,0.9999623476846101,0.9999958082174775,1,0.922862871177616,0.9885205697436314,-9.807914084106193e-4,0.9873084606254552,18.612909093105593
SMO,NARS1,3.821263338607008e-5,64700,0.6395020357224984,0.7626550857025302,0.9999617873666139,0.9999958082174775,1,0.3604979642775016,0.9021503141878633,0,1,9999999
PDGFRB,PIK3CB,4.21523875512345e-5,64642,0.29482108732927353,0.7854579841674968,0.9999578476124488,0.9999958082174775,1,0.7051789126707264,0.9580474708511413,-0.022615590278511583,0.7134121983694942,12.594957856457208
PDGFRB,MIA,4.276589622309729e-5,65573,0.7529044397614154,0.7854579841674968,0.9999572341037769,0.9999958082174775,1,0.2470955602385846,0.8823092958949602,0.04174721020276945,0.4948463029908513,16.11360421113371
HRAS,USP17L15,4.566839829244364e-5,73814,0.7938210185235255,0.7854579841674968,0.9999543316017075,0.9999958082174775,1,0.2061789814764745,0.8708973625487143,0,1,9999999
FNTB,HEBP2,4.629639812094319e-5,64399,0.5849449637317603,0.7854579841674968,0.9999537036018791,0.9999958082174775,1,0.4150550362682397,0.9121817716284171,0.033448018878232594,0.5831732657335095,12.698676172342557
FLT4,SMC4,4.692346792081216e-5,64391,0.4361372100795588,0.7854579841674968,0.9999530765320792,0.9999958082174775,1,0.5638627899204411,0.9386623118950987,-0.08889074223619456,0.15714849701032665,16.486123948386126
KIT,MAP1LC3B2,4.9799852459310866e-5,65861,0.673379518623034,0.7859460256953256,0.9999502001475407,0.9999958082174775,1,0.326620481376966,0.9021503141878633,0.03321729641282182,0.5894459763441151,30.398185367354706
RET,SPATA31D3,5.2196508374682594e-5,16038,0.9958804259480222,0.7859460256953256,0.9999478034916253,0.9999958082174775,1,0.004119574051977826,0.6453055541451421,0,1,9999999
AKT2,BARX1,5.354467445719774e-5,71044,0.37115740963312405,0.7859460256953256,0.9999464553255428,0.9999958082174775,1,0.628842590366876,0.9468708297243832,0.008478094429076289,0.8896097980864549,16.06822080942802
ERBB2,NUDT2,5.41004767128689e-5,64306,0.7835428721802179,0.7859460256953256,0.9999458995232872,0.9999958082174775,1,0.2164571278197821,0.8708973625487143,0.0631452864106925,0.2990483605981903,14.052639996166203
PDCD1,RBMY1D,5.6162113905902704e-5,29485,0.8622400791913577,0.7859460256953256,0.9999438378860941,0.9999958082174775,1,0.1377599208086423,0.8533599129819417,0,1,13.551608050445136
AKT2,MAPRE1,5.8210820479178014e-5,64262,0.5849449637317603,0.7859460256953256,0.9999417891795208,0.9999958082174775,1,0.4150550362682397,0.9121817716284171,-0.05413835023919741,0.38330772354223414,19.724337040732024
KRAS,NEK6,6.0776280287202636e-5,64236,0.9490687395684967,0.7859460256953256,0.9999392237197128,0.9999958082174775,1,0.05093126043150331,0.8123335280733143,0.022293699864411542,0.7167345938674631,20.4730680056757
PIK3CA,CLECL1,6.144660989456152e-5,104420,0.7746656672710075,0.7859460256953256,0.9999385533901054,0.9999958082174775,1,0.2253343327289925,0.8823092958949602,-0.034663016290073116,0.5815658793772628,9999999
SMO,HNRNPA2B1,6.209863128021141e-5,64223,0.8573426133535527,0.7859460256953256,0.9999379013687197,0.9999958082174775,1,0.14265738664644734,0.8533599129819417,0.03882215533034518,0.5250407941510848,11.284508064149344
PDCD1,PIGO,7.357648684100441e-5,64120,0.7238222903858198,0.9090427503839554,0.999926423513159,0.9999958082174775,1,0.2761777096141802,0.8902374601031635,0.08109912474440824,0.18835811112239018,18.433780204478683
SMO,NIPA1,7.939351649697536e-5,64260,0.9438606672439246,0.9155183961332216,0.999920606483503,0.9999958082174775,1,0.05613933275607541,0.8254029916454293,-0.018597862814492005,0.7600900423057354,12.545332874082701
HRAS,ANKRD50,8.141938251772161e-5,64058,0.3606117275884346,0.9184690443569234,0.9999185806174823,0.9999958082174775,1,0.6393882724115654,0.9468708297243832,0.0841883527571181,0.16946881558686938,18.744575885120735
RAF1,SYAP1,9.185988691148583e-5,64170,0.3432319737497891,0.9641478028504868,0.9999081401130885,0.9999958082174775,1,0.6567680262502109,0.9529161118492354,0.07222340656647788,0.22594326293835412,15.491298767869798
FGFR1,SPCS2,9.391049655163558e-5,63970,0.06607818819498787,0.9641478028504868,0.9999060895034484,0.9999958082174775,1,0.9339218118050121,0.9885205697436314,0.04490309263131724,0.4517510789501191,22.003644837227753
KDR,BMS1,9.703130540484626e-5,64136,0.7379744731646856,0.9641478028504868,0.9999029686945952,0.9999958082174775,1,0.26202552683531444,0.8833595446552679,-0.12383190696379487,0.04901547035237003,14.557089599788439
CD274,MAEA,9.824864226976186e-5,63942,0.7693782918016971,0.9641478028504868,0.9999017513577302,0.9999958082174775,1,0.23062170819830285,0.8823092958949602,-0.1104772692577783,0.07941567493094363,17.63008046429258
PDCD1,VPS37B,9.840700508882642e-5,63941,0.5758712912266795,0.9641478028504868,0.9999015929949112,0.9999958082174775,1,0.42412870877332054,0.9205201515928381,-0.0063330222840130785,0.9187038963067116,18.34630836619006
CDK6,DCUN1D2,1.0527901460415388e-4,63899,0.9490687395684967,0.9641478028504868,0.9998947209853959,0.9999949299536768,1,0.05093126043150331,0.8123335280733143,0.0020766453288716463,0.9720378890277364,15.802608423146328
SMO,IGFN1,1.0731651604841407e-4,73451,0.8560311661026213,0.9641478028504868,0.9998926834839515,0.9999948195364988,1,0.1439688338973787,0.8533599129819417,0.011045318314726653,0.8591990781734946,15.582651946959688
SMO,YKT6,1.0993205488725329e-4,63872,0.7395478160736602,0.9641478028504868,0.9998900679451127,0.9999941310213415,1,0.26045218392633984,0.8823092958949602,0.03949137292606057,0.5147379468716521,14.613081994324919
BRAF,GCNT4,1.102218931786528e-4,70676,0.38696029874223326,0.9641478028504868,0.9998897781068213,0.9999941310213415,1,0.6130397012577667,0.9468708297243832,0.02583233981079014,0.6673053844622733,17.50506558459101
AKT3,GABRB2,1.137686826091532e-4,111035,0.711389271570684,0.9641478028504868,0.99988623131739085,0.9999941310213415,1,0.288610728429316,0.8902374601031635,0.0255367350267341,0.6782457201993533,21.656081195672524
FLT4,MCCC2,1.1459961165545762e-4,64032,0.3110955313260292,0.9641478028504868,0.9998854003883445,0.9999941310213415,1,0.6889044686739708,0.9537246494820799,-0.00405112825611575,0.9467885472844438,10.527095359970957
CDK4,DNHD1,1.1588341068187988e-4,64025,0.5849449637317603,0.9641478028504868,0.9998841165893181,0.9999941310213415,1,0.4150550362682397,0.9121817716284171,-0.08087984296994369,0.19168204050726215,14.807228292587247
FLT3,ATG4D,1.1680867059616529e-4,63834,0.36245688484278704,0.9641478028504868,0.9998831913294038,0.9999941310213415,1,0.637543115157213,0.9468708297243832,-0.09229836175310727,0.1438414794012151,16.8842158774948
BRAF,ADGRF4,1.1685934947598065e-4,68854,0.9475249361429131,0.9641478028504868,0.999883140650524,0.9999941310213415,1,0.05247506385708689,0.8191998136177048,0,1,9999999
RET,FKBP9,1.1944239734704136e-4,63820,0.6937304797303555,0.9641478028504868,0.9998805576026529,0.9999941310213415,1,0.3062695202696445,0.8902374601031635,0.036846613062598066,0.5515773944439882,14.983756538072763
KRAS,NEBL,1.2039644190208742e-4,63815,0.6913184070794791,0.9641478028504868,0.9998796035580979,0.9999941310213415,1,0.3086815929205209,0.8902374601031635,-0.07429579234170151,0.23920507195671964,19.660083498847012
KRAS,SOX13,1.2077093305675836e-4,63999,0.24512140858115222,0.9641478028504868,0.9998792290669433,0.9999941310213415,1,0.7548785914188478,0.9644105765750696,0.04732352483683772,0.4318160650452396,19.416766081317803
CDK4,MPLKIP,1.2288133632475505e-4,64174,0.07294839011390036,0.9661321647922366,0.9998771186636752,0.9999941310213415,1,0.9270516098860997,0.9885205697436314,0,1,9999999
ERBB2,MAP3K20,1.346957381602016e-4,63930,0.6395020357224984,0.9859729071589798,0.9998653042618398,0.9999941310213415,1,0.3604979642775016,0.9021503141878633,0,1,9999999
AKT3,WDSUB1,1.3524160355460487e-4,64299,0.17614598451551555,0.9859729071589798,0.9998647583964454,0.9999941310213415,1,0.8238540154844844,0.9727042094281095,-0.028471634756203474,0.6431490671396214,26.01396897375212
CD274,CYSTM1,1.3559291437168945e-4,63740,0.9438606672439245,0.9859729071589798,0.9998644070856283,0.9999941310213415,1,0.05613933275607552,0.8254029916454293,0,1,9999999
ERBB2,ZNF710,1.357611507455713e-4,63925,0.04493452840297789,0.9859729071589798,0.9998642388492545,0.9999941310213415,1,0.9550654715970222,0.9920488823471674,-0.007998919686570351,0.8964472318340627,19.67143433482341
