gene1,gene2,p_value,statistic,depletion_p_value,q_value,SR_DD_p_value,SR_DD_q_value,depletion_q_value,SR_DD_depletion_p_value,SR_DD_depletion_q_value,survival_coef,survival_p_value,survival_q_value,phylo_coefficient
EGFR,SMAP2,6.60792497000632e-42,88026,2.3266491127554076e-20,1.7145582919675406e-36,1,1,8.270233630817368e-17,1,1,-0.09159006959733074,0.0369524160368613,0.0714047901941658,5.131050144319263
EGFR,LIX1L,1.9895552223693737e-36,85658,2.3734146017025035e-22,2.5811494677409068e-31,1,1,1.3244342533352075e-18,1,1,-0.23737423249878664,3.630328922428442e-7,1.9727298429208716e-6,5.494859623992804
EGFR,SYT11,2.290627134236894e-35,87755,2.5537237089436127e-17,1.4858725563011172e-30,1,1,4.2358342095652304e-14,1,1,-0.25086154139103656,1.1245425246646797e-12,1.614637262151369e-11,4.208408812929009
EGFR,PLEKHO1,3.789229764999652e-34,84618,4.2356648940833796e-12,1.6386524118740995e-29,1,1,1.5940321269672003e-9,0.9999999999957644,1,-0.11386007307600327,3.4229230854183706e-7,1.8681398745828175e-6,5.275231883455084
EGFR,SAP30,1.6503974783622327e-33,84320,1.540447604372244e-13,6.117551910152121e-29,1,1,9.09489729122014e-11,0.999999999999846,1,-0.20131451808059955,0.01941162153360086,0.04027456189796841,4.134313641736786
EGFR,CCDC88A,2.2705712895130646e-33,84255,4.771645355516238e-13,7.510146627348641e-29,1,1,2.4325407418626673e-10,0.9999999999995228,1,-0.2569272408190527,8.178741468687625e-13,1.2024120432228889e-11,4.548595279701278
EGFR,ANXA6,2.3155344748444568e-33,84251,1.4400861150101542e-12,7.510146627348641e-29,1,1,6.301493852010748e-10,0.99999999999856,1,-0.1956687010707117,1.5833421391563848e-4,5.191819338913333e-4,3.7214825349960536
EGFR,JAM3,5.5415152707829375e-33,86390,2.6653068858907475e-10,1.491230025261478e-28,1,1,6.061377382340331e-8,0.9999999997334692,1,-0.1646349448282107,0.02511033009936839,0.05066606268454728,3.895284349976216
EGFR,ZNF569,6.357790892291695e-33,84276,4.771645355516238e-13,1.571100955069453e-28,1,1,2.4325407418626673e-10,0.9999999999995228,1,-0.14609413268744048,0.3977466247694318,0.5633938598945623,4.486307016300675
EGFR,FMNL3,9.157020551070907e-33,84433,1.2363802672037583e-9,2.066062715118581e-28,1,1,2.351192957603277e-7,0.9999999987636198,1,-0.16616799008537086,0.00116818910051314,0.00319947039176323,3.262900426448211
PIK3CA,PIK3CD,1.6654167555161675e-32,84309,0.9999901333541934,3.324043735029077e-28,1,1,1,9.866645806599904e-6,3.973849142683761e-5,-0.12053324921574016,1.0544423265282554e-8,7.566113860640935e-8,4.979039859974223
EGFR,ZNF184,5.10430750782243e-32,83844,1.2827549475701549e-15,9.133894269342665e-28,1,1,1.3697684915136636e-12,0.9999999999999988,1,-0.11004978732728656,7.699835798884008e-7,3.941452774631085e-6,5.090506893804493
EGFR,HTRA2,7.23594542254141e-32,83771,1.540447604372244e-13,1.2516738391912132e-27,1,1,9.09489729122014e-11,0.999999999999846,1,-0.15300550152129624,0.2404098714773572,0.3674032407817533,5.299621234225198
EGFR,CLASP2,1.0033018790751514e-31,83472,1.2827549475701549e-15,1.6270421160226844e-27,1,1,1.3697684915136636e-12,0.9999999999999988,1,-0.07095323788972616,0.02055451914344245,0.04238489957867912,2.3460646956108255
EGFR,RPA2,3.0236976065703222e-31,83240,4.421640614186523e-15,4.3586600998711194e-27,1,1,4.054214778485048e-12,0.9999999999999956,1,-0.2024985016054828,7.168606659540778e-5,2.52058692044662e-4,5.388210085141616
EGFR,CDKN2C,4.519739991327552e-31,83155,1.2144448850315867e-11,6.339118570539243e-27,1,1,4.016933197260595e-9,0.9999999999878556,1,-0.19157464994753917,4.010946843190444e-7,2.162039750675913e-6,7.95213573933827
EGFR,JAM2,4.9703846168094e-31,88198,2.030522827918313e-7,6.787714192229131e-27,1,1,1.988261256935319e-5,0.9999997969477172,1,-0.18267261158226564,0.01348637308776412,0.02908414161269451,6.558429770392939
EGFR,CHST10,7.140123179511741e-31,83058,4.771645355516238e-13,9.500757750707238e-27,1,1,2.4325407418626673e-10,0.9999999999995228,1,-0.2712732991284093,0.6447510207173579,0.8399197846313575,2.4867003879371907
EGFR,MAPRE2,1.9388210186883705e-30,83074,3.482786811408474e-14,2.4174828311863703e-26,1,1,2.589471952945876e-11,0.99999999999996525,1,-0.181213474907994,8.416567213896425e-7,4.277563689990409e-6,9.63699201595762
EGFR,PBRM1,1.956570680807561e-30,82843,9.257299455265712e-11,2.4174828311863703e-26,1,1,2.403318122261573e-8,0.999999999907427,1,-0.18194995397772484,1.1638709398345546e-6,5.7558995580598815e-6,3.0788281330464193
EGFR,ARHGEF6,2.6716935622873507e-30,83234,1.4832966427252242e-14,3.2242992028218555e-26,1,1,1.173448184123752e-11,0.9999999999999852,1,-0.04113673059935841,0.00758839473971987,0.01735098261948473,2.0921310445613357
EGFR,FAM78A,3.171914329388104e-30,84112,3.609392860159168e-31,3.740984595665142e-26,1,1,1.8731557844582228e-26,1,1,-0.1085535752138943,6.704152994984239e-8,4.1606738088522155e-7,5.04547525690955
EGFR,KCTD20,3.5363098667070376e-30,82716,9.938833549673328e-17,4.0780725382865566e-26,1,1,1.371788997546095e-13,1,1,-0.2413348752533382,8.695653161725121e-12,1.0716417617411411e-10,4.567033129678941
EGFR,CCDC28B,5.175024989706634e-30,82634,1.2827549475701549e-15,5.83810319164861e-26,1,1,1.3697684915136636e-12,0.9999999999999988,1,-0.19620909949678725,8.047003753509503e-6,3.403343111269407e-5,7.901357739215408
EGFR,ZC3HC1,6.0719591405872524e-30,82828,2.0546672757505034e-7,6.704218034928402e-26,1,1,1.988261256935319e-5,0.9999997945332724,1,-0.20669917491308126,0.1317659919862072,0.2185397368098436,7.128956625840913
EGFR,WDR7,1.0823217102044571e-29,83159,1.6843959173483126e-12,1.1462449557010224e-25,1,1,7.248307595675801e-10,0.9999999999983156,1,-0.08928638365899355,0.23708808916743207,0.3630786121221078,4.3049101228292646
EGFR,EXOSC9,1.6637861760332486e-29,82381,4.771645355516238e-13,1.636133190073032e-25,1,1,2.4325407418626673e-10,0.9999999999995228,1,-0.06757705474359124,0.4165236657655757,0.5855212249200706,9.757542964425774
EGFR,ST3GAL2,2.141667463427508e-29,82326,9.661328822537097e-9,2.0581424323538353e-25,1,1,1.38200408904234e-6,0.9999999903386712,1,-0.27313157262415294,1.8159913099254715e-15,4.205893509644032e-14,3.687117457197856
EGFR,SOX12,2.283650882058271e-29,82312,1.4400861150101542e-12,2.1546868886096717e-25,1,1,6.301493852010748e-10,0.99999999999856,1,-0.30624072351462034,0.00267392408199918,0.00677192142536242,8.639532371445016
EGFR,ZNF24,2.644220710273982e-29,82280,4.8332051385851434e-23,2.4503426703385373e-25,1,1,3.1353424639451445e-19,1,1,-0.05977506374128535,0.7877597810702204,0.9859799596747492,9.903471282020067
EGFR,PPP1R8,3.21911699234089e-29,82237,1.4400861150101542e-12,2.8890683261508214e-25,1,1,6.301493852010748e-10,0.99999999999856,1,-0.20140026142904097,0.0818126470710191,0.14399439506110498,5.788059961079942
