"interaction","name","selected","shared interaction","shared name"
"interacts with","A2ML1 (interacts with) C1QB","false","interacts with","A2ML1 (interacts with) C1QB"
"interacts with","A2ML1 (interacts with) MAST2","false","interacts with","A2ML1 (interacts with) MAST2"
"interacts with","C1QB (interacts with) GTF2IRD1","false","interacts with","C1QB (interacts with) GTF2IRD1"
"interacts with","C1QB (interacts with) NUP205","false","interacts with","C1QB (interacts with) NUP205"
"interacts with","C1QB (interacts with) PCLO","false","interacts with","C1QB (interacts with) PCLO"
"interacts with","C1QB (interacts with) PHC1","false","interacts with","C1QB (interacts with) PHC1"
"interacts with","C1QB (interacts with) POM121","false","interacts with","C1QB (interacts with) POM121"
"interacts with","C1QB (interacts with) PTCD1","false","interacts with","C1QB (interacts with) PTCD1"
"interacts with","C1QB (interacts with) RECQL4","false","interacts with","C1QB (interacts with) RECQL4"
"interacts with","C1QB (interacts with) RHPN1","false","interacts with","C1QB (interacts with) RHPN1"
"interacts with","C1QB (interacts with) ZNF513","false","interacts with","C1QB (interacts with) ZNF513"
"interacts with","MAST2 (interacts with) NANP","false","interacts with","MAST2 (interacts with) NANP"
"interacts with","MAST2 (interacts with) NCOA2","false","interacts with","MAST2 (interacts with) NCOA2"
"interacts with","MAST2 (interacts with) NPY","false","interacts with","MAST2 (interacts with) NPY"
"interacts with","MAST2 (interacts with) OSBPL11","false","interacts with","MAST2 (interacts with) OSBPL11"
"interacts with","MAST2 (interacts with) PAK7","false","interacts with","MAST2 (interacts with) PAK7"
"interacts with","MAST2 (interacts with) PCYOX1","false","interacts with","MAST2 (interacts with) PCYOX1"
"interacts with","MAST2 (interacts with) PRKAG2","false","interacts with","MAST2 (interacts with) PRKAG2"
"interacts with","MAST2 (interacts with) PTN","false","interacts with","MAST2 (interacts with) PTN"
"interacts with","MAST2 (interacts with) PTPRA","false","interacts with","MAST2 (interacts with) PTPRA"
"interacts with","MAST2 (interacts with) RB1","false","interacts with","MAST2 (interacts with) RB1"
"interacts with","MAST2 (interacts with) RIN2","false","interacts with","MAST2 (interacts with) RIN2"
"interacts with","MAST2 (interacts with) RTN4","false","interacts with","MAST2 (interacts with) RTN4"
"interacts with","MAST2 (interacts with) SKAP2","false","interacts with","MAST2 (interacts with) SKAP2"
"interacts with","MAST2 (interacts with) SLC5A7","false","interacts with","MAST2 (interacts with) SLC5A7"
"interacts with","MAST2 (interacts with) SNX13","false","interacts with","MAST2 (interacts with) SNX13"
"interacts with","MAST2 (interacts with) STAG1","false","interacts with","MAST2 (interacts with) STAG1"
"interacts with","MAST2 (interacts with) STON1","false","interacts with","MAST2 (interacts with) STON1"
"interacts with","MAST2 (interacts with) STX19","false","interacts with","MAST2 (interacts with) STX19"
"interacts with","MAST2 (interacts with) TGFA","false","interacts with","MAST2 (interacts with) TGFA"
"interacts with","MAST2 (interacts with) TMEM195","false","interacts with","MAST2 (interacts with) TMEM195"
"interacts with","MAST2 (interacts with) TMEM19","false","interacts with","MAST2 (interacts with) TMEM19"
"interacts with","MAST2 (interacts with) UBXN7","false","interacts with","MAST2 (interacts with) UBXN7"
"interacts with","MAST2 (interacts with) ZMAT3","false","interacts with","MAST2 (interacts with) ZMAT3"
"interacts with","MAST2 (interacts with) ZNF655","false","interacts with","MAST2 (interacts with) ZNF655"
"interacts with","AACS (interacts with) CCND3","false","interacts with","AACS (interacts with) CCND3"
"interacts with","CCND3 (interacts with) CPNE3","false","interacts with","CCND3 (interacts with) CPNE3"
"interacts with","CCND3 (interacts with) DNAJB1","false","interacts with","CCND3 (interacts with) DNAJB1"
"interacts with","CCND3 (interacts with) DNAJC22","false","interacts with","CCND3 (interacts with) DNAJC22"
"interacts with","CCND3 (interacts with) DNMT3B","false","interacts with","CCND3 (interacts with) DNMT3B"
"interacts with","CCND3 (interacts with) ELOVL7","false","interacts with","CCND3 (interacts with) ELOVL7"
"interacts with","CCND3 (interacts with) ERBB4","false","interacts with","CCND3 (interacts with) ERBB4"
"interacts with","CCND3 (interacts with) EVX1","false","interacts with","CCND3 (interacts with) EVX1"
"interacts with","CCND3 (interacts with) FAM46D","false","interacts with","CCND3 (interacts with) FAM46D"
"interacts with","CCND3 (interacts with) FER","false","interacts with","CCND3 (interacts with) FER"
"interacts with","CCND3 (interacts with) GEN1","false","interacts with","CCND3 (interacts with) GEN1"
"interacts with","CCND3 (interacts with) GLI3","false","interacts with","CCND3 (interacts with) GLI3"
"interacts with","CCND3 (interacts with) GRB14","false","interacts with","CCND3 (interacts with) GRB14"
"interacts with","CCND3 (interacts with) GTF2A1","false","interacts with","CCND3 (interacts with) GTF2A1"
"interacts with","CCND3 (interacts with) HNF4G","false","interacts with","CCND3 (interacts with) HNF4G"
"interacts with","CCND3 (interacts with) IQGAP1","false","interacts with","CCND3 (interacts with) IQGAP1"
"interacts with","CCND3 (interacts with) KCTD7","false","interacts with","CCND3 (interacts with) KCTD7"
"interacts with","CCND3 (interacts with) KDM3B","false","interacts with","CCND3 (interacts with) KDM3B"
"interacts with","CCND3 (interacts with) KIAA1191","false","interacts with","CCND3 (interacts with) KIAA1191"
"interacts with","CCND3 (interacts with) KIF16B","false","interacts with","CCND3 (interacts with) KIF16B"
"interacts with","CCND3 (interacts with) LANCL1","false","interacts with","CCND3 (interacts with) LANCL1"
"interacts with","CCND3 (interacts with) LCLAT1","false","interacts with","CCND3 (interacts with) LCLAT1"
"interacts with","CCND3 (interacts with) LUC7L2","false","interacts with","CCND3 (interacts with) LUC7L2"
"interacts with","CCND3 (interacts with) LYPLA1","false","interacts with","CCND3 (interacts with) LYPLA1"
"interacts with","CCND3 (interacts with) MAP3K9","false","interacts with","CCND3 (interacts with) MAP3K9"
"interacts with","CCND3 (interacts with) MAPRE1","false","interacts with","CCND3 (interacts with) MAPRE1"
"interacts with","CCND3 (interacts with) MED21","false","interacts with","CCND3 (interacts with) MED21"
"interacts with","CCND3 (interacts with) NDE1","false","interacts with","CCND3 (interacts with) NDE1"
"interacts with","CCND3 (interacts with) NEDD1","false","interacts with","CCND3 (interacts with) NEDD1"
"interacts with","CCND3 (interacts with) NKAIN3","false","interacts with","CCND3 (interacts with) NKAIN3"
"interacts with","CCND3 (interacts with) NTN3","false","interacts with","CCND3 (interacts with) NTN3"
"interacts with","CCND3 (interacts with) PAPOLA","false","interacts with","CCND3 (interacts with) PAPOLA"
"interacts with","CCND3 (interacts with) PCDHGA1","false","interacts with","CCND3 (interacts with) PCDHGA1"
"interacts with","CCND3 (interacts with) PRKAR2A","false","interacts with","CCND3 (interacts with) PRKAR2A"
"interacts with","CCND3 (interacts with) PSMD5","false","interacts with","CCND3 (interacts with) PSMD5"
"interacts with","CCND3 (interacts with) PTPDC1","false","interacts with","CCND3 (interacts with) PTPDC1"
"interacts with","CCND3 (interacts with) RACGAP1","false","interacts with","CCND3 (interacts with) RACGAP1"
"interacts with","CCND3 (interacts with) RAD51L1","false","interacts with","CCND3 (interacts with) RAD51L1"
"interacts with","CCND3 (interacts with) RAD54B","false","interacts with","CCND3 (interacts with) RAD54B"
"interacts with","CCND3 (interacts with) RC3H2","false","interacts with","CCND3 (interacts with) RC3H2"
"interacts with","CCND3 (interacts with) RCAN3","false","interacts with","CCND3 (interacts with) RCAN3"
"interacts with","CCND3 (interacts with) RCOR1","false","interacts with","CCND3 (interacts with) RCOR1"
"interacts with","CCND3 (interacts with) RPS6KA6","false","interacts with","CCND3 (interacts with) RPS6KA6"
"interacts with","CCND3 (interacts with) SERINC5","false","interacts with","CCND3 (interacts with) SERINC5"
"interacts with","CCND3 (interacts with) SP8","false","interacts with","CCND3 (interacts with) SP8"
"interacts with","CCND3 (interacts with) SPTLC1","false","interacts with","CCND3 (interacts with) SPTLC1"
"interacts with","CCND3 (interacts with) TAOK1","false","interacts with","CCND3 (interacts with) TAOK1"
"interacts with","CCND3 (interacts with) TBX22","false","interacts with","CCND3 (interacts with) TBX22"
"interacts with","CCND3 (interacts with) TMEM38B","false","interacts with","CCND3 (interacts with) TMEM38B"
"interacts with","CCND3 (interacts with) TRAF3","false","interacts with","CCND3 (interacts with) TRAF3"
"interacts with","CCND3 (interacts with) TRIP11","false","interacts with","CCND3 (interacts with) TRIP11"
"interacts with","CCND3 (interacts with) TRIP13","false","interacts with","CCND3 (interacts with) TRIP13"
"interacts with","CCND3 (interacts with) TSN","false","interacts with","CCND3 (interacts with) TSN"
"interacts with","CCND3 (interacts with) UBE3C","false","interacts with","CCND3 (interacts with) UBE3C"
