"interaction","name","selected","shared interaction","shared name"
"interacts with","SLC35B2 (interacts with) EGFR","false","interacts with","SLC35B2 (interacts with) EGFR"
"interacts with","LOC221442 (interacts with) EGFR","false","interacts with","LOC221442 (interacts with) EGFR"
"interacts with","GSTO1 (interacts with) EGFR","false","interacts with","GSTO1 (interacts with) EGFR"
"interacts with","TDRG1 (interacts with) EGFR","false","interacts with","TDRG1 (interacts with) EGFR"
"interacts with","INPPL1 (interacts with) EGFR","false","interacts with","INPPL1 (interacts with) EGFR"
"interacts with","MED27 (interacts with) EGFR","false","interacts with","MED27 (interacts with) EGFR"
"interacts with","DLGAP3 (interacts with) EGFR","false","interacts with","DLGAP3 (interacts with) EGFR"
"interacts with","DENND2D (interacts with) EGFR","false","interacts with","DENND2D (interacts with) EGFR"
"interacts with","PCYOX1L (interacts with) EGFR","false","interacts with","PCYOX1L (interacts with) EGFR"
"interacts with","BAI2 (interacts with) EGFR","false","interacts with","BAI2 (interacts with) EGFR"
"interacts with","STMN1 (interacts with) EGFR","false","interacts with","STMN1 (interacts with) EGFR"
"interacts with","CDH12 (interacts with) EGFR","false","interacts with","CDH12 (interacts with) EGFR"
"interacts with","CELA1 (interacts with) EGFR","false","interacts with","CELA1 (interacts with) EGFR"
"interacts with","CHD5 (interacts with) EGFR","false","interacts with","CHD5 (interacts with) EGFR"
"interacts with","C6orf130 (interacts with) EGFR","false","interacts with","C6orf130 (interacts with) EGFR"
"interacts with","FRS3 (interacts with) EGFR","false","interacts with","FRS3 (interacts with) EGFR"
"interacts with","FAM119A (interacts with) EGFR","false","interacts with","FAM119A (interacts with) EGFR"
"interacts with","MMP19 (interacts with) EGFR","false","interacts with","MMP19 (interacts with) EGFR"
"interacts with","POC5 (interacts with) EGFR","false","interacts with","POC5 (interacts with) EGFR"
"interacts with","TRIM27 (interacts with) EGFR","false","interacts with","TRIM27 (interacts with) EGFR"
"interacts with","SMARCAL1 (interacts with) EGFR","false","interacts with","SMARCAL1 (interacts with) EGFR"
"interacts with","PTGES2 (interacts with) EGFR","false","interacts with","PTGES2 (interacts with) EGFR"
"interacts with","EHMT2 (interacts with) EGFR","false","interacts with","EHMT2 (interacts with) EGFR"
"interacts with","HCN3 (interacts with) EGFR","false","interacts with","HCN3 (interacts with) EGFR"
"interacts with","FGFRL1 (interacts with) EGFR","false","interacts with","FGFRL1 (interacts with) EGFR"
"interacts with","SNAI3 (interacts with) EGFR","false","interacts with","SNAI3 (interacts with) EGFR"
"interacts with","FAM70B (interacts with) EGFR","false","interacts with","FAM70B (interacts with) EGFR"
"interacts with","NR5A1 (interacts with) EGFR","false","interacts with","NR5A1 (interacts with) EGFR"
"interacts with","NDUFB3 (interacts with) EGFR","false","interacts with","NDUFB3 (interacts with) EGFR"
"interacts with","TRAIP (interacts with) EGFR","false","interacts with","TRAIP (interacts with) EGFR"
"interacts with","PSME1 (interacts with) EGFR","false","interacts with","PSME1 (interacts with) EGFR"
"interacts with","HUS1B (interacts with) EGFR","false","interacts with","HUS1B (interacts with) EGFR"
"interacts with","SLC39A7 (interacts with) EGFR","false","interacts with","SLC39A7 (interacts with) EGFR"
"interacts with","NCDN (interacts with) EGFR","false","interacts with","NCDN (interacts with) EGFR"
"interacts with","COX4I1 (interacts with) EGFR","false","interacts with","COX4I1 (interacts with) EGFR"
"interacts with","C3orf27 (interacts with) EGFR","false","interacts with","C3orf27 (interacts with) EGFR"
"interacts with","ACOT12 (interacts with) EGFR","false","interacts with","ACOT12 (interacts with) EGFR"
"interacts with","GRAMD1A (interacts with) EGFR","false","interacts with","GRAMD1A (interacts with) EGFR"
"interacts with","TRIM8 (interacts with) EGFR","false","interacts with","TRIM8 (interacts with) EGFR"
"interacts with","POMT1 (interacts with) EGFR","false","interacts with","POMT1 (interacts with) EGFR"
"interacts with","SNHG12 (interacts with) EGFR","false","interacts with","SNHG12 (interacts with) EGFR"
"interacts with","LINC00982 (interacts with) EGFR","false","interacts with","LINC00982 (interacts with) EGFR"
"interacts with","NPPB (interacts with) EGFR","false","interacts with","NPPB (interacts with) EGFR"
"interacts with","CYBA (interacts with) EGFR","false","interacts with","CYBA (interacts with) EGFR"
"interacts with","LEPRE1 (interacts with) EGFR","false","interacts with","LEPRE1 (interacts with) EGFR"
"interacts with","TJAP1 (interacts with) EGFR","false","interacts with","TJAP1 (interacts with) EGFR"
"interacts with","COL11A2 (interacts with) EGFR","false","interacts with","COL11A2 (interacts with) EGFR"
"interacts with","MSX1 (interacts with) EGFR","false","interacts with","MSX1 (interacts with) EGFR"
"interacts with","RASSF1 (interacts with) EGFR","false","interacts with","RASSF1 (interacts with) EGFR"
"interacts with","CTRC (interacts with) EGFR","false","interacts with","CTRC (interacts with) EGFR"
"interacts with","BAK1 (interacts with) EGFR","false","interacts with","BAK1 (interacts with) EGFR"
"interacts with","TMEM120B (interacts with) EGFR","false","interacts with","TMEM120B (interacts with) EGFR"
"interacts with","LY6G5C (interacts with) EGFR","false","interacts with","LY6G5C (interacts with) EGFR"
"interacts with","RAD9A (interacts with) EGFR","false","interacts with","RAD9A (interacts with) EGFR"
"interacts with","CDAN1 (interacts with) EGFR","false","interacts with","CDAN1 (interacts with) EGFR"
"interacts with","CDK11B (interacts with) EGFR","false","interacts with","CDK11B (interacts with) EGFR"
"interacts with","ANGPTL6 (interacts with) EGFR","false","interacts with","ANGPTL6 (interacts with) EGFR"
"interacts with","GABRD (interacts with) EGFR","false","interacts with","GABRD (interacts with) EGFR"
"interacts with","SLC10A4 (interacts with) EGFR","false","interacts with","SLC10A4 (interacts with) EGFR"
"interacts with","ANP32B (interacts with) EGFR","false","interacts with","ANP32B (interacts with) EGFR"
"interacts with","MIR155HG (interacts with) EGFR","false","interacts with","MIR155HG (interacts with) EGFR"
"interacts with","RING1 (interacts with) EGFR","false","interacts with","RING1 (interacts with) EGFR"
"interacts with","RNU11 (interacts with) EGFR","false","interacts with","RNU11 (interacts with) EGFR"
"interacts with","NR0B2 (interacts with) EGFR","false","interacts with","NR0B2 (interacts with) EGFR"
"interacts with","C14orf166 (interacts with) EGFR","false","interacts with","C14orf166 (interacts with) EGFR"
"interacts with","POLA2 (interacts with) EGFR","false","interacts with","POLA2 (interacts with) EGFR"
"interacts with","ITPKA (interacts with) EGFR","false","interacts with","ITPKA (interacts with) EGFR"
"interacts with","GPR3 (interacts with) EGFR","false","interacts with","GPR3 (interacts with) EGFR"
"interacts with","FGF17 (interacts with) EGFR","false","interacts with","FGF17 (interacts with) EGFR"
"interacts with","SNHG3 (interacts with) EGFR","false","interacts with","SNHG3 (interacts with) EGFR"
"interacts with","HBQ1 (interacts with) EGFR","false","interacts with","HBQ1 (interacts with) EGFR"
"interacts with","TNFRSF18 (interacts with) EGFR","false","interacts with","TNFRSF18 (interacts with) EGFR"
"interacts with","SLC29A3 (interacts with) EGFR","false","interacts with","SLC29A3 (interacts with) EGFR"
"interacts with","UBE2D4 (interacts with) TUBB","false","interacts with","UBE2D4 (interacts with) TUBB"
"interacts with","RAB5A (interacts with) TUBB","false","interacts with","RAB5A (interacts with) TUBB"
"interacts with","PPP1CB (interacts with) TUBB","false","interacts with","PPP1CB (interacts with) TUBB"
"interacts with","ETF1 (interacts with) TUBB","false","interacts with","ETF1 (interacts with) TUBB"
"interacts with","ATP6V1A (interacts with) TUBB","false","interacts with","ATP6V1A (interacts with) TUBB"
"interacts with","TWIST1 (interacts with) ERBB2","false","interacts with","TWIST1 (interacts with) ERBB2"
"interacts with","SNAI2 (interacts with) ERBB2","false","interacts with","SNAI2 (interacts with) ERBB2"
